claim_id,client_id,region,claim_type,policy_type,declaration_date,expertise_date,closure_date,status,estimated_damage,paid_amount,expert_assigned,fraud_flag
CLM_1,CUST_3919,Hauts-de-France,Incendie,Professionnelle,2023-04-13,2023-04-28,2023-06-14,Clos,3534.48,2580.14,Expert_2,0
CLM_2,CUST_1955,Occitanie,Bris de glace,Professionnelle,2023-06-01,2023-06-04,2023-06-30,Clos,6196.6,5679.8,Expert_11,0
CLM_3,CUST_4005,Nouvelle-Aquitaine,Bris de glace,Habitation,2023-10-04,2023-10-05,2023-10-21,Clos,2543.28,1815.9,Expert_6,1
CLM_4,CUST_3068,Nouvelle-Aquitaine,Dégât des eaux,Habitation,2023-06-24,2023-07-13,2023-08-30,Clos,1759.72,1544.55,Expert_2,0
CLM_5,CUST_3556,Hauts-de-France,Catastrophe naturelle,Habitation,2023-11-25,2023-12-02,2023-12-24,Clos,1508.46,1365.56,Expert_2,0
CLM_6,CUST_4461,Occitanie,Incendie,Habitation,2023-09-21,2023-10-06,2023-11-14,Clos,4820.13,3748.3,Expert_11,0
CLM_7,CUST_3343,Hauts-de-France,Incendie,Habitation,2023-02-23,2023-03-05,2023-03-13,Clos,2947.74,2141.68,Expert_8,0
CLM_8,CUST_1379,Hauts-de-France,Dégât des eaux,Habitation,2023-08-01,2023-08-17,2023-10-05,Clos,4625.78,4388.11,Expert_6,0
CLM_9,CUST_3336,Nouvelle-Aquitaine,Incendie,Habitation,2023-02-10,2023-02-25,,Ouvert,1404.91,1327.13,Expert_8,0
CLM_10,CUST_4104,Île-de-France,Catastrophe naturelle,Habitation,2023-09-18,2023-09-28,2023-11-10,Clos,3881.43,3782.41,Expert_3,0
CLM_11,CUST_2028,Occitanie,Catastrophe naturelle,Professionnelle,2023-02-17,2023-02-22,,Ouvert,522.78,426.01,Expert_6,1
CLM_12,CUST_4762,PACA,Catastrophe naturelle,Professionnelle,2023-08-06,2023-08-20,2023-10-02,Clos,3950.06,3607.19,Expert_6,0
CLM_13,CUST_2059,Île-de-France,Dégât des eaux,Auto,2023-03-04,2023-03-11,,Ouvert,2681.94,2077.93,Expert_9,0
CLM_14,CUST_3693,Nouvelle-Aquitaine,Bris de glace,Habitation,2023-01-13,2023-01-20,2023-03-16,Clos,288.42,282.34,Expert_3,0
CLM_15,CUST_2408,Île-de-France,Bris de glace,Habitation,2023-10-11,2023-10-23,,En recours,4865.87,3584.33,Expert_15,0
CLM_16,CUST_4296,Nouvelle-Aquitaine,Catastrophe naturelle,Professionnelle,2023-10-10,2023-10-23,2023-12-07,Clos,2115.52,1585.36,Expert_15,0
CLM_17,CUST_3489,Île-de-France,Vol,Professionnelle,2023-11-03,2023-11-13,2023-12-31,Clos,1419.28,1231.13,Expert_15,0
CLM_18,CUST_3160,Île-de-France,Catastrophe naturelle,Habitation,2023-02-21,2023-03-05,2023-04-17,Clos,1631.21,1289.08,Expert_6,0
CLM_19,CUST_1835,PACA,Incendie,Auto,2023-01-02,2023-01-04,2023-02-05,Clos,2145.69,1817.05,Expert_8,1
CLM_20,CUST_3799,PACA,Vol,Auto,2023-07-22,2023-08-08,2023-09-19,Clos,3130.59,2785.26,Expert_13,0
CLM_21,CUST_2986,Île-de-France,Dégât des eaux,Habitation,2023-05-24,2023-05-25,2023-06-07,Clos,1030.59,904.11,Expert_1,0
CLM_22,CUST_2802,Hauts-de-France,Dégât des eaux,Auto,2023-05-27,2023-06-03,,Ouvert,1555.9,1274.71,Expert_13,0
CLM_23,CUST_3301,PACA,Vol,Professionnelle,2023-05-31,2023-06-10,,En recours,1473.66,1259.97,Expert_5,0
CLM_24,CUST_3255,Île-de-France,Incendie,Professionnelle,2023-05-20,2023-05-25,,Ouvert,1618.6,1224.66,Expert_8,0
CLM_25,CUST_3961,Île-de-France,Catastrophe naturelle,Habitation,2023-05-11,2023-05-12,,En recours,3989.84,3238.5,Expert_13,0
CLM_26,CUST_1397,Hauts-de-France,Bris de glace,Habitation,2023-12-04,2023-12-06,2024-02-02,Clos,5301.0,5292.19,Expert_15,0
CLM_27,CUST_1469,PACA,Bris de glace,Habitation,2023-10-04,2023-10-20,2023-11-13,Clos,6107.36,4839.59,Expert_15,0
CLM_28,CUST_1225,PACA,Vol,Auto,2023-01-22,2023-02-05,2023-03-11,Clos,1330.28,1088.07,Expert_7,0
CLM_29,CUST_4583,PACA,Vol,Auto,2023-10-04,2023-10-05,,Ouvert,4534.04,3852.84,Expert_15,0
CLM_30,CUST_2060,PACA,Catastrophe naturelle,Habitation,2023-01-17,2023-01-29,,Ouvert,3344.03,2621.28,Expert_8,0
CLM_31,CUST_2816,Occitanie,Vol,Auto,2023-10-07,2023-10-24,2023-12-13,Clos,1722.19,1645.27,Expert_10,0
CLM_32,CUST_4710,Occitanie,Incendie,Auto,2023-08-11,2023-08-14,2023-09-27,Clos,4326.84,3299.98,Expert_9,0
CLM_33,CUST_1537,Hauts-de-France,Bris de glace,Auto,2023-06-04,2023-06-14,2023-06-20,Clos,4628.92,4224.69,Expert_13,0
CLM_34,CUST_1019,Occitanie,Incendie,Professionnelle,2023-12-21,2024-01-08,2024-02-06,Clos,1726.96,1251.14,Expert_5,0
CLM_35,CUST_1853,Île-de-France,Bris de glace,Habitation,2023-11-17,2023-11-25,2024-01-14,Clos,2977.36,2419.63,Expert_7,0
CLM_36,CUST_3311,Hauts-de-France,Bris de glace,Auto,2023-02-20,2023-03-09,2023-05-04,Clos,2856.93,2259.77,Expert_4,0
CLM_37,CUST_4891,Île-de-France,Dégât des eaux,Auto,2023-02-22,2023-03-06,2023-04-23,Clos,1335.6,1147.83,Expert_7,0
CLM_38,CUST_4675,Nouvelle-Aquitaine,Incendie,Professionnelle,2023-05-24,2023-06-06,2023-07-30,Clos,2943.03,2345.27,Expert_8,0
